UPM,VIV_SEL,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_2_3,P4_3,P4_3A,P4_4,P4_5,P4_6_1,P4_6_2,P4_6_3,P4_6_4,P4_6_5,P4_6_6,P4_6A,P4_7_1,P4_7_2,P4_7_3,P4_7_4,P4_7A,P4_8,P4_8A,P5_1,P5_2_1,P5_2_2,P5_3_1,P5_3_2,P5_4,P5_4A,P5_5,P5_6_1,P5_6_2,P5_6_3,P5_6_4,P5_6_5,P5_7_1,P5_8_1,P5_9_1,P5_10_1,P5_7_2,P5_8_2,P5_9_2,P5_10_2,P5_7_3,P5_8_3,P5_9_3,P5_10_3,P5_7_4,P5_8_4,P5_9_4,P5_10_4,P5_7_5,P5_8_5,P5_9_5,P5_10_5,P5_7_6,P5_8_6,P5_9_6,P5_7_7,P5_8_7,P5_9_7,P5_7_8,P5_8_8,P5_9_8,P5_11_1,P5_11_2,P5_11_3,FAC_HOG,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO
0360013,01,01,2,2,2,2,1,2,2,2,2,3,,2,,,,,,,,,,,,,,1,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,99,00233,020,R,4,1
0360013,02,01,2,2,2,1,1,2,2,2,1,,,2,,,,,,,,,,,,,,7,LOS ADULTO USAN DATOS,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,320,,2,,,2,,,3,1,3,99,00233,020,R,4,1
0360013,03,01,2,2,2,2,1,1,2,1,1,,,1,1,1,2,2,2,2,2,,,,,,,,,2,,,,,2,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,400,,1,3,3,99,00233,020,R,4,1
0360013,04,01,2,1,1,1,1,2,2,2,2,1,,2,,,,,,,,,,,,,,1,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,230,,2,,,2,,,3,2,3,99,00233,020,R,4,1
0400576,01,01,2,2,2,1,1,2,1,2,2,,,1,1,1,2,2,2,2,2,,,,,,,,,1,2,1,2,2,,,1,1,1,1,1,2,2,,,,2,,,,2,,,,2,,,,1,400,,,1,280,,2,,,2,,,1,1,1,250,00277,030,U,1,3
0400576,02,01,1,2,2,1,1,2,2,2,1,,,1,1,2,1,2,2,2,2,,,,,,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,409,,,2,,,,2,,,2,,,2,,,1,1,3,250,00277,030,U,1,3
0400579,01,01,2,2,2,2,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,2,,,,,2,,2,2,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,2,,,3,3,3,939,00278,029,U,1,2
0400579,02,01,2,2,2,1,1,2,2,1,2,,,1,3,2,1,2,2,2,2,,1,2,2,2,,,,1,1,2,2,2,,,2,1,1,2,1,2,2,,,,2,,,,2,,,,1,550,,,2,,,,2,,,2,,,2,,,1,1,3,939,00278,029,U,1,2
0400579,03,01,1,1,2,1,1,2,2,1,2,,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,280,,2,,,2,,,3,1,3,939,00278,029,U,1,2
0400579,04,01,1,2,2,1,1,2,2,2,2,4,,2,,,,,,,,,,,,,,2,,1,1,2,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,260,,2,,,2,,,3,1,3,939,00278,029,U,1,2
0400579,05,01,2,2,2,1,1,2,2,1,2,,,1,1,2,2,1,2,2,2,,,,,,,,,2,,,,,2,,2,1,2,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,2,,,1,300,,1,3,3,939,00278,029,U,1,2
0360013,16,01,2,2,2,1,1,2,2,2,2,2,,2,,,,,,,,,,,,,,2,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,216,,2,,,2,,,3,1,3,99,00233,020,R,4,1
0360013,17,01,2,1,2,2,1,2,2,1,2,,,2,,,,,,,,,,,,,,1,,1,2,1,1,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,200,,2,,,2,,,3,1,3,99,00233,020,R,4,1
0360013,18,01,1,2,2,1,1,2,2,2,2,3,,1,2,,,,,,,,1,2,2,2,,,,1,2,1,2,2,,,2,2,1,2,1,2,2,,,,2,,,,2,,,,2,,,,2,,,,1,169,,2,,,2,,,3,1,3,99,00233,020,R,4,1
